Name,Latitude,Longitude,Type,Founded_BCE,Population_Peak,Province,Modern_Country
Rome,41.9028,12.4964,Capital,753,1000000,Italia,Italy
Athens,37.9838,23.7275,City,3000,250000,Achaea,Greece
Alexandria,31.2001,29.9187,City,331,500000,Aegyptus,Egypt
Carthage,36.8529,10.3233,City,814,400000,Africa Proconsularis,Tunisia
Antioch,36.2095,36.1605,City,300,500000,Syria,Turkey
Constantinople,41.0082,28.9784,City,330,500000,Thracia,Turkey
Corinth,37.9063,22.8787,City,3000,90000,Achaea,Greece
Ephesus,37.9392,27.3419,City,1000,250000,Asia,Turkey
Londinium,51.5074,-0.1278,City,47,60000,Britannia,United Kingdom
Lutetia,48.8566,2.3522,City,250,30000,Gallia Lugdunensis,France
Tarraco,41.1189,1.2445,City,218,40000,Hispania Tarraconensis,Spain
Augusta Treverorum,49.7596,6.6441,City,16,75000,Gallia Belgica,Germany
Mediolanum,45.4642,9.1900,City,600,100000,Italia,Italy
Aquileia,45.7719,13.3697,City,181,70000,Italia,Italy
Lugdunum,45.7640,4.8357,City,43,50000,Gallia Lugdunensis,France
Camulodunum,51.8959,0.9035,City,43,30000,Britannia,United Kingdom
Vindobona,48.2082,16.3738,City,100,30000,Pannonia,Austria
Colonia Agrippina,50.9375,6.9603,City,38,45000,Germania Inferior,Germany
Carthago Nova,37.6000,-0.9833,City,228,50000,Hispania Tarraconensis,Spain
Pergamum,39.1317,27.1845,City,400,180000,Asia,Turkey
Syracuse,37.0755,15.2866,City,734,125000,Sicilia,Italy
Ravenna,44.4184,12.2035,City,550,50000,Italia,Italy
Massilia,43.2965,5.3698,City,600,60000,Gallia Narbonensis,France
Neapolis,40.8518,14.2681,City,600,70000,Italia,Italy
Palmyra,34.5600,38.2700,City,2000,100000,Syria,Syria
